Team,Opp 3FGAPG,OPP 3FGPG,Pct
Houston (AAC),22.59,6.30,27.9
VCU (Atlantic 10),18.30,5.21,28.5
Murray St. (OVC),21.61,6.18,28.6
Virginia (ACC),22.32,6.45,28.9
Oregon (Pac-12),24.24,7.03,29
Michigan (Big Ten),16.84,4.89,29.1
American (Patriot),17.33,5.07,29.2
Northwestern (Big Ten),17.72,5.19,29.3
Akron (MAC),22.24,6.52,29.3
Central Mich. (MAC),22.97,6.74,29.4
Georgia Tech (ACC),21.78,6.47,29.7
Texas Tech (Big 12),21.47,6.39,29.8
UT Arlington (Sun Belt),21.97,6.55,29.8
Buffalo (MAC),22.00,6.56,29.8
Grambling (SWAC),21.26,6.35,29.9
Duke (ACC),22.21,6.66,30
Stony Brook (America East),24.03,7.21,30
Bethune-Cookman (MEAC),21.90,6.61,30.2
Florida A&M (MEAC),19.74,5.97,30.2
Brown (Ivy League),24.19,7.31,30.2
Drake (MVC),21.85,6.62,30.3
Gonzaga (WCC),21.27,6.46,30.4
TCU (Big 12),21.49,6.54,30.4
Fresno St. (Mountain West),22.97,7.03,30.6
UC Santa Barbara (Big West),20.19,6.19,30.7
Texas St. (Sun Belt),20.76,6.41,30.9
NC State (ACC),19.42,6.00,30.9
Yale (Ivy League),23.93,7.43,31.1
UMass Lowell (America East),21.63,6.72,31.1
Nicholls (Southland),20.52,6.39,31.1
Alcorn (SWAC),21.19,6.61,31.2
UCF (AAC),22.55,7.06,31.3
North Texas (C-USA),19.82,6.21,31.3
Northern Ky. (Horizon),22.23,6.97,31.4
Weber St. (Big Sky),20.73,6.52,31.4
Kansas St. (Big 12),21.79,6.85,31.4
Fla. Atlantic (C-USA),24.06,7.58,31.5
Cal St. Fullerton (Big West),19.88,6.26,31.5
Wisconsin (Big Ten),20.06,6.32,31.5
Saint Louis (Atlantic 10),20.25,6.39,31.6
LMU (CA) (WCC),21.44,6.76,31.6
Santa Clara (WCC),19.71,6.23,31.6
Michigan St. (Big Ten),22.69,7.18,31.6
Furman (SoCon),22.70,7.18,31.6
Florida (SEC),20.28,6.42,31.6
Prairie View (SWAC),19.40,6.14,31.7
Toledo (MAC),21.42,6.79,31.7
N.C. Central (MEAC),19.76,6.26,31.7
Colorado (Pac-12),21.58,6.86,31.8
Ball St. (MAC),21.73,6.91,31.8
Missouri (SEC),21.88,6.97,31.9
Lipscomb (ASUN),23.65,7.54,31.9
Maryland (Big Ten),23.24,7.41,31.9
San Francisco (WCC),18.90,6.03,31.9
Boston College (ACC),24.84,7.94,31.9
South Fla. (AAC),20.00,6.39,32
Louisville (ACC),21.97,7.03,32
New Orleans (Southland),19.12,6.12,32
N.C. A&T (MEAC),21.47,6.88,32
George Mason (Atlantic 10),22.42,7.18,32
Southeast Mo. St. (OVC),24.97,8.00,32
Dayton (Atlantic 10),23.82,7.64,32.1
Saint Mary's (CA) (WCC),17.06,5.47,32.1
Wofford (SoCon),22.09,7.09,32.1
Memphis (AAC),23.75,7.64,32.2
Coastal Carolina (Sun Belt),25.65,8.26,32.2
Rhode Island (Atlantic 10),20.76,6.70,32.3
St. Bonaventure (Atlantic 10),23.59,7.62,32.3
Marquette (Big East),21.18,6.85,32.4
St. Francis Brooklyn (NEC),17.79,5.76,32.4
Princeton (Ivy League),21.18,6.86,32.4
San Diego St. (Mountain West),23.88,7.74,32.4
Liberty (ASUN),19.81,6.42,32.4
Old Dominion (C-USA),21.86,7.09,32.4
UTSA (C-USA),24.56,7.97,32.4
Iowa (Big Ten),24.74,8.03,32.4
Cleveland St. (Horizon),24.90,8.10,32.5
Gardner-Webb (Big South),27.17,8.86,32.6
Bradley (MVC),21.51,7.03,32.7
Virginia Tech (ACC),26.49,8.66,32.7
Ohio St. (Big Ten),20.63,6.74,32.7
Fordham (Atlantic 10),19.78,6.47,32.7
Cornell (Ivy League),20.61,6.74,32.7
Ga. Southern (Sun Belt),23.70,7.76,32.7
Long Beach St. (Big West),22.26,7.29,32.8
Tulsa (AAC),26.59,8.72,32.8
Georgia St. (Sun Belt),27.24,8.94,32.8
NJIT (ASUN),21.91,7.20,32.9
Norfolk St. (MEAC),23.58,7.75,32.9
Arizona (Pac-12),20.25,6.66,32.9
East Carolina (AAC),21.00,6.90,32.9
Temple (AAC),22.03,7.24,32.9
Dartmouth (Ivy League),19.67,6.47,32.9
Syracuse (ACC),26.29,8.65,32.9
High Point (Big South),26.58,8.74,32.9
Illinois (Big Ten),19.70,6.48,32.9
Davidson (Atlantic 10),24.56,8.09,32.9
Southeastern La. (Southland),18.48,6.09,33
LIU (NEC),19.81,6.53,33
Wichita St. (AAC),20.97,6.92,33
San Diego (WCC),17.67,5.83,33
Abilene Christian (Southland),17.00,5.62,33
Hampton (Big South),24.71,8.17,33.1
UMBC (America East),25.71,8.50,33.1
Notre Dame (ACC),22.33,7.39,33.1
Indiana (Big Ten),22.43,7.43,33.1
Texas A&M (SEC),26.22,8.69,33.1
Valparaiso (MVC),19.55,6.48,33.2
Nebraska (Big Ten),19.83,6.58,33.2
Austin Peay (OVC),21.91,7.27,33.2
Georgia (SEC),22.38,7.44,33.2
Louisiana Tech (C-USA),22.33,7.42,33.2
Nevada (Mountain West),23.26,7.74,33.2
Col. of Charleston (CAA),23.97,7.97,33.2
New Hampshire (America East),20.52,6.83,33.3
Alabama (SEC),19.71,6.56,33.3
Bucknell (Patriot),20.94,6.97,33.3
Miami (OH) (MAC),23.28,7.75,33.3
Arkansas (SEC),23.85,7.94,33.3
Idaho (Big Sky),26.28,8.75,33.3
Oklahoma (Big 12),25.44,8.47,33.3
New Mexico St. (WAC),21.57,7.20,33.4
